13:10:29.971523 1.0 Mb/s 2417 MHz 11b -82dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:10:30.082403 1.0 Mb/s 2452 MHz 11b -85dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:30.117776 1.0 Mb/s 2457 MHz 11b -80dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:30.128997 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:30.131692 1.0 Mb/s 2462 MHz 11b -88dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:10:30.133963 1.0 Mb/s 2462 MHz 11b -87dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:10:32.941138 1.0 Mb/s 2427 MHz 11b -81dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:10:33.008706 1.0 Mb/s 2457 MHz 11b -78dB signal antenna 3 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:33.025530 1.0 Mb/s 2462 MHz 11b -90dB signal antenna 3 304us Probe Response (TG862GA2) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 11, PRIVACY
13:10:33.028150 1.0 Mb/s 2462 MHz 11b -79dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
13:10:33.029371 1.0 Mb/s 2462 MHz 11b -78dB signal antenna 3 Retry 314us Probe Response (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] CH: 11, PRIVACY
13:10:35.808378 1.0 Mb/s 2417 MHz 11b -83dB signal antenna 3 0us Beacon () [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 2, PRIVACY
13:10:35.895380 1.0 Mb/s 2452 MHz 11b -82dB signal antenna 3 0us Beacon (kcmsdwireless) [1.0* 2.0* 5.5* 11.0* 6.0 12.0 24.0 36.0 Mbit] ESS CH: 11, PRIVACY
